Data2,Em recuperação,Óbitos,Recuperados
23 de dez. de 2020,227,57,2949
24 de dez. de 2020,221,57,2998
28 de dez. de 2020,204,58,3104
29 de dez. de 2020,215,58,3104
30 de dez. de 2020,118,58,3216
4 de jan. de 2021,93,62,3294
5 de jan. de 2021,106,63,3316
6 de jan. de 2021,87,64,3347
7 de jan. de 2021,85,64,3360
8 de jan. de 2021,73,64,3394
11 de jan. de 2021,107,64,3439
12 de jan. de 2021,112,65,3459
13 de jan. de 2021,119,66,3480
14 de jan. de 2021,125,66,3498
15 de jan. de 2021,128,68,3520
18 de jan. de 2021,146,68,3589
19 de jan. de 2021,145,68,3610
20 de jan. de 2021,159,68,3634
21 de jan. de 2021,171,68,3659
22 de jan. de 2021,204,68,3674
25 de jan. de 2021,259,70,3735
26 de jan. de 2021,260,71,3759
27 de jan. de 2021,252,71,3785
28 de jan. de 2021,281,72,3811
29 de jan. de 2021,297,72,3847
1 de fev. de 2021,288,72,3925
2 de fev. de 2021,277,72,3953
3 de fev. de 2021,263,72,3985
4 de fev. de 2021,259,72,4015
5 de fev. de 2021,279,74,4035
8 de fev. de 2021,243,74,4125
9 de fev. de 2021,254,74,4154
10 de fev. de 2021,245,74,4187
11 de fev. de 2021,252,74,4221
12 de fev. de 2021,263,74,4256
17 de fev. de 2021,277,79,4396
18 de fev. de 2021,265,80,4430
19 de fev. de 2021,272,80,4462
22 de fev. de 2021,346,80,4554
24 de fev. de 2021,470,80,4630
25 de fev. de 2021,523,80,4670
26 de fev. de 2021,588,83,4704
1 de mar. de 2021,619,84,4824
2 de mar. de 2021,647,84,4862
3 de mar. de 2021,751,85,4901
4 de mar. de 2021,870,86,4946
5 de mar. de 2021,946,91,5048
8 de mar. de 2021,923,94,5288
9 de mar. de 2021,1017,95,5388
10 de mar. de 2021,1019,95,5491
11 de mar. de 2021,1022,95,5560
12 de mar. de 2021,1053,96,5619
15 de mar. de 2021,923,98,5889
16 de mar. de 2021,947,104,5981
17 de mar. de 2021,949,105,6072
18 de mar. de 2021,930,107,6152
19 de mar. de 2021,922,107,6244
22 de mar. de 2021,779,109,6499
23 de mar. de 2021,841,109,6574
24 de mar. de 2021,807,111,6679
25 de mar. de 2021,732,113,6781
26 de mar. de 2021,626,115,6931
29 de mar. de 2021,529,120,7186
30 de mar. de 2021,533,122,7233
31 de mar. de 2021,541,124,7293
1 de abr. de 2021,519,129,7358
5 de abr. de 2021,403,141,7562
6 de abr. de 2021,385,141,7610
7 de abr. de 2021,337,143,7665
8 de abr. de 2021,326,145,7703
9 de abr. de 2021,288,146,7781
12 de abr. de 2021,183,148,7964
13 de abr. de 2021,182,150,8002
14 de abr. de 2021,157,150,8042
15 de abr. de 2021,131,151,8080
16 de abr. de 2021,145,151,8112
19 de abr. de 2021,102,154,8222
20 de abr. de 2021,97,156,8265
22 de abr. de 2021,89,159,8290
23 de abr. de 2021,118,161,8323
26 de abr. de 2021,66,165,8428
27 de abr. de 2021,109,165,8453
28 de abr. de 2021,95,166,8474
29 de abr. de 2021,117,166,8496
30 de abr. de 2021,131,166,8521
3 de mai. de 2021,104,168,8587
4 de mai. de 2021,100,168,8610
5 de mai. de 2021,94,168,8638
6 de mai. de 2021,77,169,8667
7 de mai. de 2021,132,170,8675
10 de mai. de 2021,184,175,8698
12 de mai. de 2021,183,176,8732
13 de mai. de 2021,193,176,8792
14 de mai. de 2021,235,177,8807
17 de mai. de 2021,219,178,8870
18 de mai. de 2021,216,178,8939
19 de mai. de 2021,188,178,8974
20 de mai. de 2021,207,179,9009
21 de mai. de 2021,235,179,9024
24 de mai. de 2021,231,184,9112
25 de mai. de 2021,245,184,9176
26 de mai. de 2021,262,186,9205
